filename,drone_type,capture_id,n_boxes_total,n_boxes_drone,n_boxes_interf,detectado
all/hunter/hunter_2__seg0009.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0010.png,hunter,hunter_2,10,0,10,False
all/hunter/hunter_2__seg0011.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0012.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0013.png,hunter,hunter_2,10,0,10,False
all/hunter/hunter_2__seg0014.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0015.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0016.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0017.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0018.png,hunter,hunter_2,13,0,13,False
all/hunter/hunter_2__seg0019.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0020.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0021.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0022.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0023.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0024.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0025.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0026.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0027.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0028.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0029.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0030.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0031.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0032.png,hunter,hunter_2,8,2,6,True
all/hunter/hunter_2__seg0033.png,hunter,hunter_2,2,0,2,False
all/hunter/hunter_2__seg0034.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0035.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0036.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0037.png,hunter,hunter_2,11,0,11,False
all/hunter/hunter_2__seg0038.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0039.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0040.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0041.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0042.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0043.png,hunter,hunter_2,10,0,10,False
all/hunter/hunter_2__seg0044.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0045.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0046.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0047.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0048.png,hunter,hunter_2,10,0,10,False
all/hunter/hunter_2__seg0049.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0050.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0051.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0052.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0053.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0054.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0055.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0056.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0057.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0058.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0059.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0060.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0061.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0062.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0063.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0064.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0065.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0066.png,hunter,hunter_2,2,0,2,False
all/hunter/hunter_2__seg0067.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0068.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0069.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0070.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0071.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0072.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0073.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0074.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0075.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0076.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0077.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0078.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0079.png,hunter,hunter_2,11,0,11,False
all/hunter/hunter_2__seg0080.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0081.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0082.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0083.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0084.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0085.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0086.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0087.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0088.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0089.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0090.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0091.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0092.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0093.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0094.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0095.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0096.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0097.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0098.png,hunter,hunter_2,2,0,2,False
all/hunter/hunter_2__seg0099.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0100.png,hunter,hunter_2,9,0,9,False
all/hunter/hunter_2__seg0101.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0102.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0103.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0104.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0105.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0106.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0107.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0108.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0109.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0110.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0111.png,hunter,hunter_2,7,0,7,False
all/hunter/hunter_2__seg0112.png,hunter,hunter_2,3,0,3,False
all/hunter/hunter_2__seg0113.png,hunter,hunter_2,4,0,4,False
all/hunter/hunter_2__seg0114.png,hunter,hunter_2,6,0,6,False
all/hunter/hunter_2__seg0115.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0116.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0117.png,hunter,hunter_2,5,0,5,False
all/hunter/hunter_2__seg0118.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2__seg0119.png,hunter,hunter_2,8,0,8,False
all/hunter/hunter_2_conwifi__seg0000.png,hunter,hunter_2_conwifi,20,0,20,False
all/hunter/hunter_2_conwifi__seg0001.png,hunter,hunter_2_conwifi,20,0,20,False
all/hunter/hunter_2_conwifi__seg0002.png,hunter,hunter_2_conwifi,13,0,13,False
all/hunter/hunter_2_conwifi__seg0003.png,hunter,hunter_2_conwifi,24,0,24,False
all/hunter/hunter_2_conwifi__seg0004.png,hunter,hunter_2_conwifi,21,0,21,False
all/hunter/hunter_2_conwifi__seg0005.png,hunter,hunter_2_conwifi,19,0,19,False
all/hunter/hunter_2_conwifi__seg0006.png,hunter,hunter_2_conwifi,14,0,14,False
all/hunter/hunter_2_conwifi__seg0007.png,hunter,hunter_2_conwifi,22,0,22,False
all/hunter/hunter_2_conwifi__seg0008.png,hunter,hunter_2_conwifi,20,0,20,False
all/hunter/hunter_2_conwifi__seg0009.png,hunter,hunter_2_conwifi,22,0,22,False
all/hunter/hunter_2_conwifi__seg0010.png,hunter,hunter_2_conwifi,19,0,19,False
all/hunter/hunter_2_conwifi__seg0011.png,hunter,hunter_2_conwifi,24,0,24,False
all/hunter/hunter_2_conwifi__seg0012.png,hunter,hunter_2_conwifi,23,0,23,False
all/hunter/hunter_2_conwifi__seg0013.png,hunter,hunter_2_conwifi,21,0,21,False
all/hunter/hunter_2_conwifi__seg0014.png,hunter,hunter_2_conwifi,17,0,17,False
all/hunter/hunter_2_conwifi__seg0015.png,hunter,hunter_2_conwifi,18,0,18,False
all/hunter/hunter_2_conwifi__seg0016.png,hunter,hunter_2_conwifi,24,0,24,False
all/hunter/hunter_2_conwifi__seg0017.png,hunter,hunter_2_conwifi,19,0,19,False
all/hunter/hunter_2_conwifi__seg0018.png,hunter,hunter_2_conwifi,18,0,18,False
all/hunter/hunter_2_conwifi__seg0019.png,hunter,hunter_2_conwifi,18,0,18,False
all/hunter/hunter_2_conwifi__seg0020.png,hunter,hunter_2_conwifi,21,0,21,False
all/hunter/hunter_2_conwifi__seg0021.png,hunter,hunter_2_conwifi,21,0,21,False
all/hunter/hunter_2_conwifi__seg0022.png,hunter,hunter_2_conwifi,16,0,16,False
all/hunter/hunter_2_conwifi__seg0023.png,hunter,hunter_2_conwifi,17,0,17,False
all/hunter/hunter_2_conwifi__seg0024.png,hunter,hunter_2_conwifi,21,0,21,False
all/hunter/hunter_2_conwifi__seg0025.png,hunter,hunter_2_conwifi,24,0,24,False
all/hunter/hunter_2_conwifi__seg0026.png,hunter,hunter_2_conwifi,18,0,18,False
all/hunter/hunter_2_conwifi__seg0027.png,hunter,hunter_2_conwifi,19,0,19,False
all/hunter/hunter_2_conwifi__seg0028.png,hunter,hunter_2_conwifi,21,0,21,False
all/hunter/hunter_2_conwifi__seg0029.png,hunter,hunter_2_conwifi,24,0,24,False
all/hunter/hunter_3__seg0000.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0001.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0002.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0003.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0004.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0005.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0006.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0007.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0008.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0009.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0010.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0011.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0012.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0013.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0014.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0015.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0016.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0017.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0018.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0019.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0020.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0021.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0022.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0023.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0024.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0025.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0026.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0027.png,hunter,hunter_3,1,0,1,False
all/hunter/hunter_3__seg0028.png,hunter,hunter_3,1,0,1,False
all/hunter/hunter_3__seg0029.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0030.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0031.png,hunter,hunter_3,4,1,3,True
all/hunter/hunter_3__seg0032.png,hunter,hunter_3,1,0,1,False
all/hunter/hunter_3__seg0033.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0034.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0035.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0036.png,hunter,hunter_3,3,1,2,True
all/hunter/hunter_3__seg0037.png,hunter,hunter_3,3,1,2,True
all/hunter/hunter_3__seg0038.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0039.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0040.png,hunter,hunter_3,1,0,1,False
all/hunter/hunter_3__seg0041.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0042.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0043.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0044.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0045.png,hunter,hunter_3,1,0,1,False
all/hunter/hunter_3__seg0046.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0047.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0048.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0049.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0050.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0051.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0052.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0053.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0054.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0055.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0056.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0057.png,hunter,hunter_3,1,0,1,False
all/hunter/hunter_3__seg0058.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0059.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0060.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0061.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0062.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0063.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0064.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0065.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0066.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0067.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0068.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0069.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0070.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0071.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0072.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0073.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0074.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0075.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0076.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0077.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0078.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0079.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0080.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0081.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0082.png,hunter,hunter_3,9,0,9,False
all/hunter/hunter_3__seg0083.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0084.png,hunter,hunter_3,2,0,2,False
all/hunter/hunter_3__seg0085.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0086.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0087.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0088.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0089.png,hunter,hunter_3,4,0,4,False
all/hunter/hunter_3__seg0090.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0091.png,hunter,hunter_3,3,0,3,False
all/hunter/hunter_3__seg0092.png,hunter,hunter_3,6,0,6,False
all/hunter/hunter_3__seg0093.png,hunter,hunter_3,8,0,8,False
all/hunter/hunter_3__seg0094.png,hunter,hunter_3,5,0,5,False
all/hunter/hunter_3__seg0095.png,hunter,hunter_3,7,0,7,False
all/hunter/hunter_3__seg0096.png,hunter,hunter_3,5,0,5,False
