path,capture_id,capture_type,distance_m,wifi_level,gt_presence,n_drone_bboxes,n_interf_bboxes,max_drone_conf,max_interf_conf
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0024.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,69,1,0.8699471354484558,0.001985355047509074
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0025.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,68,1,0.8706018328666687,0.0010317600099369884
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0026.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,72,3,0.884811282157898,0.0038455273024737835
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0027.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,74,0,0.8800826668739319,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0028.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,45,0,0.9119027256965637,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0029.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,65,0,0.9036505818367004,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0030.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,41,0,0.8973744511604309,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0031.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,54,0,0.8964017033576965,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0032.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,46,1,0.9025604724884033,0.0493006594479084
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0033.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,47,3,0.8846631646156311,0.03309156373143196
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0034.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,51,1,0.9067330360412598,0.0016932316357269883
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0035.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,57,0,0.8928296566009521,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0036.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,50,0,0.8830642700195312,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0037.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,54,0,0.87456876039505,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0038.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,38,0,0.9062941670417786,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0039.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,53,0,0.9153968691825867,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0040.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,55,0,0.8883453607559204,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0041.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,51,2,0.9142045974731445,0.0015399812255054712
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0042.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,80,0,0.8844150900840759,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0043.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,77,0,0.8810665011405945,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0044.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,87,0,0.8208919167518616,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0045.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,69,0,0.8789675831794739,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0046.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,68,0,0.8929034471511841,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0047.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,83,0,0.8723475933074951,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0048.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,68,4,0.8776989579200745,0.016996076330542564
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0049.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,76,12,0.8626651763916016,0.013367895036935806
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0050.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,75,1,0.9034637808799744,0.0015538750449195504
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0051.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,60,11,0.8886241316795349,0.05688786506652832
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0052.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,57,10,0.8924849629402161,0.016991091892123222
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0053.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,54,6,0.8976047039031982,0.0041105011478066444
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0054.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,46,1,0.9265851378440857,0.007836434058845043
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0055.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,53,21,0.898611843585968,0.21422123908996582
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0056.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,60,9,0.8693205714225769,0.00557837774977088
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0057.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,52,1,0.8908274173736572,0.020015593618154526
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0058.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,47,0,0.9114456176757812,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0059.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,36,1,0.9079674482345581,0.003409253666177392
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0060.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,49,0,0.9064111113548279,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0061.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,64,0,0.8843401074409485,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0062.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,76,0,0.8821706771850586,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0063.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,73,0,0.8977499604225159,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0064.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,89,0,0.8538268208503723,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0065.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,79,0,0.8576804399490356,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0066.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,79,0,0.8606288433074951,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0067.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,62,13,0.9027842283248901,0.029441943392157555
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0068.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,33,23,0.8960303068161011,0.23032599687576294
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0069.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,50,12,0.8673229813575745,0.1433183252811432
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0070.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,29,33,0.888276994228363,0.578761637210846
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0071.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,46,20,0.8690693974494934,0.3780939280986786
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0072.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,60,0,0.8739392161369324,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0073.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,60,3,0.8946887254714966,0.007615611422806978
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0074.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,39,6,0.9106789231300354,0.005685462150722742
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0075.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,51,0,0.9017906188964844,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0076.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,55,0,0.9093902707099915,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0077.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,51,2,0.9095280170440674,0.0012474320828914642
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0078.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,54,13,0.9036576747894287,0.02352767623960972
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0079.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,48,7,0.8981693387031555,0.020208243280649185
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0080.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,49,4,0.9024884700775146,0.032812025398015976
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0081.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,60,4,0.8928316831588745,0.0015102846082299948
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0082.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,37,14,0.8896560668945312,0.05429431051015854
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0083.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,49,1,0.9080910086631775,0.0012611930724233389
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0084.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,40,1,0.9167060256004333,0.03019421547651291
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0085.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,53,0,0.9053694009780884,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0086.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,41,5,0.9143216013908386,0.022020278498530388
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0087.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,50,0,0.9072176814079285,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0088.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,52,0,0.8912141919136047,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0089.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,46,1,0.9088045954704285,0.0010259994305670261
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0090.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,45,0,0.9110344052314758,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0091.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,46,0,0.9008075594902039,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0092.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,52,5,0.903563916683197,0.017189892008900642
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0093.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,63,1,0.9182367920875549,0.009989415295422077
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0094.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,71,0,0.8750759959220886,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0095.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,75,0,0.841238796710968,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0096.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,71,2,0.8648642301559448,0.002108457498252392
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0097.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,64,0,0.8531556725502014,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0098.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,61,0,0.8848868608474731,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0099.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,64,0,0.8761806488037109,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0100.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,62,0,0.909172773361206,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0101.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,49,0,0.9033796191215515,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0102.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,58,0,0.9035611152648926,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0103.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,62,0,0.9044426679611206,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0104.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,56,0,0.8760361075401306,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0105.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,62,0,0.9108145833015442,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0106.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,72,2,0.9224413633346558,0.00126267212908715
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0107.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,78,5,0.8994946479797363,0.005003375932574272
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0108.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,80,0,0.8905642628669739,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0109.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,66,4,0.871048092842102,0.027767017483711243
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0110.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,56,16,0.8488669991493225,0.36029526591300964
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0111.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,83,0,0.8466085195541382,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0112.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,66,1,0.8368643522262573,0.0011140306014567614
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0113.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,61,0,0.8383450508117676,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0114.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,80,3,0.8505168557167053,0.01367822103202343
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0115.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,59,0,0.8719743490219116,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0116.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,76,0,0.841133177280426,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0117.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,87,0,0.8479617834091187,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0118.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,72,1,0.8330802321434021,0.004609727766364813
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0119.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,83,0,0.8704941868782043,0.0
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0120.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,85,7,0.8381884694099426,0.02608955278992653
C:/TFG/spectre-main/spectre-main/data/mini3_detector_python_v3/all/drone/mini3_drone_d10_w3_s02_cap01__seg0121.png,mini3_drone_d10_w3_s02_cap01,drone,10,3,1,65,8,0.8672100901603699,0.04015875607728958
